Name,Company,Level Audition,Re-Evaluation,note,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep10
Li Jiajie,Huace Pictures,F,B,,79,-,-,-,-,-,-,-,-
Song Yumiao,AIF Entertainment,F,F,,80,-,-,-,-,-,-,-,-
Wei Qianni,AIF Entertainment,F,B,,81,-,-,-,-,-,-,-,-
Huang Ruoyuan,Huayi Brothers,F,C,,82,-,-,-,-,-,-,-,-
Chen Yujin,Younger Culture,F,F,,83,-,-,-,-,-,-,-,-
Wang Jingxia,AIF Entertainment,F,C,,84,-,-,-,-,-,-,-,-
Sun Lulu,Attitude Music,B,C,,85,-,-,-,-,-,-,-,-
Wang Xiyao,SDT Entertainment,C,F,,86,-,-,-,-,-,-,-,-
Pan Xiaoxue,Hot Idol,F,C,,87,-,-,-,-,-,-,-,-
Wu Miaoyin,Qigu Culture,F,C,,88,-,-,-,-,-,-,-,-
Xie Anshi,Huayi Brothers,F,F,,89,-,-,-,-,-,-,-,-
Shu Yiling,SDT Entertainment,C,A,,90,-,-,-,-,-,-,-,-
Li Man,SDT Entertainment,C,B,,91,-,-,-,-,-,-,-,-
Hu Yanan,Big Picture Universal,F,F,,92,-,-,-,-,-,-,-,-
Zhou Yulin,TOP CLASS Entertainment,F,F,,93,-,-,-,-,-,-,-,-
Tan Sihui,Qigu Culture,F,C,,94,-,-,-,-,-,-,-,-
Wen Xin,TOP CLASS Entertainment,F,B,,95,-,-,-,-,-,-,-,-
Huang Yuqing,TOP CLASS Entertainment,F,B,,96,-,-,-,-,-,-,-,-
Li Yulu,Qigu Culture,F,C,,97,-,-,-,-,-,-,-,-
Zhang Chunru,Assaxin,F,C,,98,-,-,-,-,-,-,-,-
Zhao Tianai,Top One Culture,F,F,,99,-,-,-,-,-,-,-,-
Lv Xinwei,Assaxin,F,C,,100,-,-,-,-,-,-,-,-
Pang Xueqian,Assaxin,F,C,,101,-,-,-,-,-,-,-,-
